  	 %case       price   	       size    	       new              taxes         bedrooms        baths
   1.0000000e+00   4.1985000e+02   2.0480000e+03   0.0000000e+00   4.8530000e+03   4.0000000e+00   2.0000000e+00
   2.0000000e+00   2.1975000e+02   9.1200000e+02   0.0000000e+00   1.6400000e+03   2.0000000e+00   1.0000000e+00
   3.0000000e+00   3.5655000e+02   1.6540000e+03   0.0000000e+00   5.5100000e+03   4.0000000e+00   2.0000000e+00
   4.0000000e+00   3.0000000e+02   2.0680000e+03   0.0000000e+00   3.5450000e+03   3.0000000e+00   2.0000000e+00
   5.0000000e+00   2.3985000e+02   1.4770000e+03   0.0000000e+00   4.2680000e+03   3.0000000e+00   3.0000000e+00
   6.0000000e+00   7.4985000e+02   3.1530000e+03   1.0000000e+00   5.8270000e+03   3.0000000e+00   2.0000000e+00
   7.0000000e+00   3.9825000e+02   1.3550000e+03   0.0000000e+00   6.6440000e+03   3.0000000e+00   2.0000000e+00
   8.0000000e+00   4.3485000e+02   2.0750000e+03   1.0000000e+00   3.2330000e+03   3.0000000e+00   2.0000000e+00
   9.0000000e+00   8.8050000e+02   3.9900000e+03   0.0000000e+00   6.9950000e+03   5.0000000e+00   4.0000000e+00
   1.0000000e+01   1.0500000e+02   1.1600000e+03   0.0000000e+00   1.6660000e+03   3.0000000e+00   2.0000000e+00
   1.1000000e+01   9.6750000e+01   1.2200000e+03   0.0000000e+00   2.8000000e+03   3.0000000e+00   2.0000000e+00
   1.2000000e+01   2.5050000e+02   1.6900000e+03   0.0000000e+00   4.4320000e+03   3.0000000e+00   2.0000000e+00
   1.3000000e+01   1.7190000e+02   1.3800000e+03   0.0000000e+00   3.3200000e+03   3.0000000e+00   2.0000000e+00
   1.4000000e+01   1.5450000e+02   1.5900000e+03   0.0000000e+00   4.8280000e+03   3.0000000e+00   2.0000000e+00
   1.5000000e+01   1.5150000e+02   1.0500000e+03   0.0000000e+00   3.8320000e+03   3.0000000e+00   1.0000000e+00
   1.6000000e+01   1.0500000e+02   7.7000000e+02   0.0000000e+00   4.4680000e+03   2.0000000e+00   1.0000000e+00
   1.7000000e+01   1.2750000e+02   1.4100000e+03   0.0000000e+00   3.2220000e+03   3.0000000e+00   2.0000000e+00
   1.8000000e+01   3.3750000e+01   1.0600000e+03   0.0000000e+00   1.3880000e+03   3.0000000e+00   1.0000000e+00
   1.9000000e+01   1.3500000e+02   1.3000000e+03   0.0000000e+00   1.3820000e+03   2.0000000e+00   2.0000000e+00
   2.0000000e+01   1.9950000e+02   1.5000000e+03   0.0000000e+00   3.8030000e+03   3.0000000e+00   2.0000000e+00
   2.1000000e+01   1.3575000e+02   8.2000000e+02   0.0000000e+00   4.4880000e+03   2.0000000e+00   1.0000000e+00
   2.2000000e+01   8.6625000e+02   3.9490000e+03   1.0000000e+00   7.3670000e+03   4.0000000e+00   3.0000000e+00
